Timestamp,Gender,Location,Age,Qualification_completed,field_of_study,Purpose_for_chilla,Research/Working experience (Float/Int) years,Age (years)-Float/Int,What are you?,Location coordinates (latitude)-Float,Location coordinates (longitude) (float),Blood group ,Which mobile sim do you use,Prepaid or Postpaid,Which PC are you using?,Your Weight in kg? (float),Height in cm? Freelancer- (Float),Do you wear glasses?,When did you write your first line of code?,Your favorite programming language?,Marital Status?,"How many hours you code a day? (int) e.g: 5,4,3",Are you Vaccinated?,Light kitni der band hti hy? int,Where do you live?
1/4/2022 18:02,Male,Pakistan,36-40,Masters,Natural Sciences,to boost my skill set,5,38,Unemplyed,200,100,B+,U-fone,Prepaid,Apna Laptop,77,179,No,>3 years ago,Python,Yes,3,Yes,2,Urbun
1/4/2022 18:02,Male,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,1,25,Student,1.27474774,1.947466474,B+,U-fone,Prepaid,Apna Laptop,53.6,178,No,>3 years ago,Python,No,2,Yes,6,Urbun
1/4/2022 18:03,Male,Pakistan,31-35,Masters,Enginnering,Switch my field of study,5.5,31.34,Employed,24.884055,67.080608,B+,Zong,Prepaid,Apna Laptop,93,173,Yes,>3 years ago,Python,Yes,2,Yes,0,Urbun
1/4/2022 18:03,Female,Pakistan,31-35,Masters,CS/IT,to boost my skill set,5,33,Employed,180,180,O+,U-fone,Postpaid,Apna Laptop,60,157,No,<3 years ago,Python,Yes,3,Yes,Pora din,Urbun
1/4/2022 18:03,Female,Pakistan,26-30,Masters,Enginnering,to boost my skill set,3.5,27,Student,31.0831,72.451,A-,Mobilink,Prepaid,Apna Laptop,59.9,164.544,Yes,In this chilla,Javascript,No,6,Yes,12,Rural
1/4/2022 18:03,Male,Pakistan,36-40,Masters,Others,Switch my field of study,15,36,Employed,"24.967922693350182, ",67.12256305,B+,Mobilink,Prepaid,Apna Laptop,99,178,Yes,<3 years ago,Javascript,Yes,1,Yes,0,Urbun
1/4/2022 18:03,Male,Pakistan,21-25,Masters,Enginnering,to boost my skill set,0,0,Student,Nil,Nil,O+,Mobilink,Prepaid,Kisi ka laptop,58,180.34,Yes,In this chilla,Python,No,1,No,2 hours per day,Urbun
1/4/2022 18:03,Male,West,26-30,Bachelors,CS/IT,to boost my skill set,4,27,Student,50.7738464,6.1122471,AB+,International,Prepaid,Apna Laptop,100,187,No,>3 years ago,Python,Yes,3,Yes,0,International
1/4/2022 18:03,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0.5,22.2,Unemplyed,31.5822,74.3292,O+,Zong,Prepaid,Apna Laptop,76.8,1.75,No,>3 years ago,Python,No,3,Yes,0,Rural
1/4/2022 18:03,Male,West,21-25,Bachelors,Natural Sciences,to boost my skill set,0.5,24,Student,63.446827,10.421906,B+,Mobilink,Prepaid,Apna Laptop,84,183,No,<3 years ago,Python,No,3,No,0,International
1/4/2022 18:03,Male,East,21-25,PhD,Natural Sciences,to boost my skill set,3,25,Student,"39.9042° N, ",116.4074° E,A+,International,Prepaid,Apna Laptop,78,165,No,In this chilla,Python,No,5,Yes,0,International
1/4/2022 18:03,Male,Pakistan,26-30,Masters,CS/IT,to boost my skill set,2,27,Unemplyed,33.6844,73.0479,B+,Telenor,Prepaid,Apna Laptop,50,163,No,>3 years ago,Python,No,1,Yes,0,Urbun
1/4/2022 18:03,Female,West,26-30,Masters,Others,Switch my field of study,3,28,Student,41.87194,12.56738,A+,International,Prepaid,Apna Laptop,64.21,158.496,No,<3 years ago,Python,No,2,Yes,0,International
1/4/2022 18:03,Male,Pakistan,21-25,Pre-Bachelors,Enginnering,to boost my skill set,1,22.5,Student,33.5651,73.0169,O+,Mobilink,Prepaid,Apna Laptop,63,178.2,No,<3 years ago,Python,No,1,Yes,1,Urbun
1/4/2022 18:03,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,2,24,Employed,33.595467,73.021413,A+,U-fone,Prepaid,Apna Laptop,88.2,185,No,>3 years ago,Python,No,4,Yes,2,Urbun
1/4/2022 18:03,Male,East,21-25,Masters,Biology,to boost my skill set,2.5,25,Student,32.7844291,129.8556916,O+,International,Postpaid,Apna Laptop,68.5,180,Yes,In this chilla,Python,No,2,Yes,0,International
1/4/2022 18:03,Male,Pakistan,31-35,Masters,CS/IT,to boost my skill set,2,33,Employed,32.713,72.6136,B+,Zong,Postpaid,Apna Laptop,75.8,174,No,>3 years ago,Python,Yes,1,Yes,0,Urbun
1/4/2022 18:03,Male,Pakistan,31-35,Bachelors,Enginnering,to boost my skill set,5.5,33,Employed,33.71422,73.10047,O+,Mobilink,Prepaid,Apna Laptop,72,164,Yes,>3 years ago,C++,No,4,Yes,0,Urbun
1/4/2022 18:03,Male,East,26-30,PhD,Enginnering,to boost my skill set,0.6,30,Employed,22.31,114.17,AB+,International,Prepaid,Apna Laptop,74.5,174,No,In this chilla,Python,No,2,Yes,0,International
1/4/2022 18:03,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0,25,Unemplyed,34.0151,71.5249,B+,Zong,Prepaid,Apna Laptop,130,172.72,Yes,In this chilla,Python,No,4,Yes,5,Urbun
1/4/2022 18:03,Male,Pakistan,31-35,Masters,Enginnering,to boost my skill set,2.5,31,Employed,"30° 28' 59.99"" N","72° 34' 59.99"" E",O+,Mobilink,Prepaid,Apna Laptop,72.5,170.18,No,<3 years ago,Python,Yes,3,Yes,3,Rural
1/4/2022 18:03,Male,Pakistan,31-35,PhD,Enginnering,to boost my skill set,2,33,Employed,12.3 45.1,12.4 23.4,O+,Zong,Postpaid,Apna Laptop,70.2,168,No,In this chilla,Python,Yes,3,Yes,8 hours,Urbun
1/4/2022 18:03,Male,Pakistan,21-25,Pre-Bachelors,Enginnering,Switch my field of study,0,21,Student,33.9123,72.3148,O+,Zong,Prepaid,Apna Laptop,55,182.88,No,<3 years ago,Python,No,1,Yes,1,Urbun
1/4/2022 18:03,Female,West,21-25,Bachelors,Biology,Switch my field of study,2,25,Student,38.626759,34.720619,AB+,International,Prepaid,Apna Laptop,69,174,Yes,In this chilla,Python,No,3,Yes,0,International
1/4/2022 18:04,Male,East,26-30,PhD,Others,to boost my skill set,4.5,30,Student,22.3,15.4,AB+,International,Postpaid,Apna Laptop,65.5,174.5,No,<3 years ago,Python,No,3,Yes,1,International
1/4/2022 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,0,24,Student,32.9328,72.863,B+,Zong,Prepaid,Apna Laptop,83.5,172.72,No,>3 years ago,Python,No,3,Yes,2,Rural
1/4/2022 18:04,Male,Pakistan,26-30,PhD,Biology,to boost my skill set,9,30,Student,34.025917,71.560135,B+,Zong,Prepaid,Apna Laptop,60,164.59,No,In this chilla,Python,No,3,Yes,9,Rural
1/4/2022 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,3.1,25,Employed,33.5969,73.0528,O+,U-fone,Prepaid,Apna Laptop,69.5,163.2,No,<3 years ago,Python,No,5,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,31-35,Bachelors,CS/IT,to boost my skill set,4,33,Employed,34.0151° N,71.5249° E,B+,Mobilink,Postpaid,Apna Laptop,72,177,No,>3 years ago,Python,Yes,1,Yes,0,Urbun
1/4/2022 18:04,Male,East,31-35,PhD,Biology,Switch my field of study,8.4,33.9,Employed,22.8167,108.316666,O+,International,Prepaid,Apna Laptop,97.5,177,No,In this chilla,Python,No,5,Yes,1,International
1/4/2022 18:04,Male,East,26-30,PhD,Enginnering,to boost my skill set,6,30,Employed,22.3193,114.1694,AB+,International,Prepaid,Apna Laptop,85,178,No,In this chilla,Python,No,4,Yes,0,International
1/4/2022 18:04,Male,Pakistan,26-30,Bachelors,Business/Economics,to boost my skill set,1,26,Unemplyed,​36.08548176482495,72.45343875,B+,Telenor,Prepaid,Kisi ka laptop,55.5,164,No,In this chilla,Python,No,3,Yes,4,Rural
1/4/2022 18:04,Female,Pakistan,26-30,Masters,Natural Sciences,to boost my skill set,4,27.9,Student,30.7,72.4,B+,Mobilink,Prepaid,Apna Laptop,60,160,Yes,In this chilla,Python,No,3,Yes,2,Urbun
1/4/2022 18:04,Male,West,31-35,PhD,Enginnering,to boost my skill set,2,31,Student,36,97,B-,International,Postpaid,Apna Laptop,80,176,Yes,<3 years ago,Python,Yes,3,Yes,0,International
1/4/2022 18:04,Male,Pakistan,26-30,Bachelors,Enginnering,Switch my field of study,0,29,Student,34.01,71.52,A-,Telenor,Prepaid,Apna Laptop,78,179,No,<3 years ago,Python,No,4,No,4,Urbun
1/4/2022 18:04,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,0,21,Student,30.361723,73.190401,A+,Zong,Prepaid,Apna Laptop,52.5,164.344,No,<3 years ago,Python,No,1,Yes,0,Rural
1/4/2022 18:04,Male,Pakistan,21-25,Masters,Mathematics,Abhi tak pata nahi,0,23,Employed,22.3,22.56,A-,Telenor,Prepaid,Kisi ka laptop,67,155,No,<3 years ago,C++,No,2,Yes,1,Rural
1/4/2022 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,0.2,24.3,Unemplyed,33.626057,73.071442,AB+,U-fone,Prepaid,Apna Laptop,93.5,177.5,No,<3 years ago,Python,No,2,Yes,2,Urbun
1/4/2022 18:04,Male,West,26-30,Masters,Biology,to boost my skill set,4.5,28,Student,47.6008,19.3605,B+,International,Prepaid,Apna Laptop,68.3,175.25,No,<3 years ago,R,No,3,Yes,0,International
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,3,26,Employed,33.7715,72.7511,O+,Mobilink,Prepaid,Apna Laptop,96,172,No,>3 years ago,Python,No,6,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,31-35,Bachelors,Enginnering,Switch my field of study,0,31,Employed,31.99987,32.9999,B+,U-fone,Prepaid,Apna Laptop,64,160,No,<3 years ago,Python,Yes,1,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,31-35,Masters,CS/IT,to boost my skill set,14,31,Employed,32.074,72.6861,O+,Mobilink,Postpaid,Apna Laptop,75,165,No,>3 years ago,Python,Yes,3,Yes,1,Rural
1/4/2022 18:04,Male,Pakistan,31-35,Masters,Enginnering,to boost my skill set,4,33,Employed,33.71,73.01,A+,Mobilink,Postpaid,Apna Laptop,84,183,No,>3 years ago,Python,Yes,3,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,No,20,Student,Faisalabad,89,A+,Zong,Prepaid,Desktop,75,169,No,<3 years ago,Python,No,2,Yes,No,Urbun
1/4/2022 18:04,Female,Pakistan,26-30,Masters,Enginnering,to boost my skill set,1.5,26,Unemplyed,24.8607,67.0011,B+,U-fone,Prepaid,Apna Laptop,47,163,Yes,<3 years ago,Python,No,2,Yes,0,Urbun
1/4/2022 18:04,Male,West,31-35,Masters,Mathematics,to boost my skill set,4,32.75,Employed,53.483959,-2.244644,B+,International,Postpaid,Apna Laptop,72.5,173,No,>3 years ago,Python,Yes,2,Yes,0,Urbun
1/4/2022 18:04,Female,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,7,28,Employed,32.571144,74.075005,O+,Mobilink,Prepaid,Apna Laptop,50,170.18,No,>3 years ago,Others,No,4,Yes,4,Urbun
1/4/2022 18:04,Male,West,31-35,Bachelors,Enginnering,Awen,8.5,34,Employed,44.6488° ,", 63.5752°",A+,International,Postpaid,Apna Laptop,87.5,182,No,In this chilla,Python,Yes,4,Yes,0,International
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,0,29,Unemplyed,33.6043,71.2614,O+,Zong,Prepaid,Apna Laptop,62.5,179.832,No,In this chilla,Others,Yes,2,Yes,8,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,2,27,Employed,29.35,71.69,B+,Mobilink,Prepaid,Apna Laptop,88.6,600,No,>3 years ago,C++,No,3,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,16-20,Pre-Bachelors,Others,to boost my skill set,0,18,Student,29.12,71.1,B+,Zong,Prepaid,Kisi ka laptop,52,174,Yes,In this chilla,Python,Yes,2,Yes,2,Urbun
1/4/2022 18:04,Female,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,2017,28,Unemplyed,Lahore,Lahore,B+,Mobilink,Prepaid,Kisi ka laptop,50,5,No,>3 years ago,C++,Yes,Less than 1 ,Yes,5 hours,Urbun
1/4/2022 18:04,Male,East,26-30,Bachelors,Software Eng.,to boost my skill set,2.5,26.3,Employed,25.1659°,51.5976°,B+,International,Prepaid,Apna Laptop,71.2,172,No,>3 years ago,Python,No,1,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,21-25,Masters,Enginnering,Switch my field of study,2.5,25,Employed,31.4504°,73.1350°,A+,Mobilink,Prepaid,Apna Laptop,60,177.8,No,>3 years ago,Others,No,1,Yes,0,Rural
1/4/2022 18:04,Male,Pakistan,36-40,Masters,Natural Sciences,to boost my skill set,12,36,Employed,31.14,72.69,A+,U-fone,Prepaid,Apna Laptop,100.5,180.5,No,>3 years ago,Python,Yes,2,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,36-40,Masters,Business/Economics,Switch my field of study,5,38,Student,31.5204,74.3587,B-,Mobilink,Prepaid,Apna Laptop,93.9,177.8,No,<3 years ago,Python,No,4,Yes,1,Urbun
1/4/2022 18:04,Male,Pakistan,31-35,Masters,Natural Sciences,to boost my skill set,9.5,35,Employed,33.3,70.5,A+,Zong,Prepaid,Apna Laptop,78.9,170,No,<3 years ago,SQL,Yes,1,Yes,1,Urbun
1/4/2022 18:04,Female,West,31-35,Masters,Enginnering,to boost my skill set,6,32,Student,Germany ,50,B+,International,Prepaid,Apna Laptop,60,156,Yes,<3 years ago,Python,Yes,1,Yes,0,International
1/4/2022 18:04,Male,Pakistan,31-35,Masters,CS/IT,Switch my field of study,4.5,32,Employed,27.2046,77.4977,A+,U-fone,Postpaid,Apna Laptop,70,170,No,<3 years ago,Python,Yes,4,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,2,26.5,Employed,33.74,72.83,B+,U-fone,Postpaid,Apna Laptop,65,175,No,<3 years ago,Python,No,3,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,0,21,Student,24.7475° ,67.9106° ,O+,Mobilink,Prepaid,Apna Laptop,63.5,173,No,>3 years ago,Python,No,3,Yes,8,Rural
1/4/2022 18:04,Male,Pakistan,31-35,PhD,Enginnering,to boost my skill set,5,33,Employed,Taxila,Taxila,O+,U-fone,Prepaid,Apna Laptop,82,175,Yes,>3 years ago,Python,Yes,2,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Awen,3.5,25,Employed,31.582045,74.329376,B+,Mobilink,Prepaid,Apna Laptop,105.5,5.7,Yes,In this chilla,Python,Yes,4,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,2.5,27.75,Employed,31.52037,74.358749,A+,Mobilink,Postpaid,Apna Laptop,85.6,165,Yes,<3 years ago,Python,No,4,Yes,4,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Bachelors,Enginnering,Switch my field of study,2,26,Unemplyed,31.5204,74.3587,B+,U-fone,Prepaid,Apna Laptop,89,157,Yes,>3 years ago,Python,No,3,Yes,1,Urbun
1/4/2022 18:04,Female,Pakistan,26-30,PhD,CS/IT,to boost my skill set,4 years,30,Employed,Islamabad,Islamabad,B+,U-fone,Prepaid,Apna Laptop,80,5.7,No,<3 years ago,Python,Yes,2,Yes,Friday jati bas Pura din 2 bjy tak,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,5,28,Employed,30.3753,69.3451,A+,Mobilink,Prepaid,Apna Laptop,100,169,No,>3 years ago,Python,Yes,9,Yes,3,Urbun
1/4/2022 18:04,Male,Pakistan,16-20,Pre-Bachelors,CS/IT,to boost my skill set,0.5,19.5,Student,28.41987,70.30345,O+,Mobilink,Prepaid,Apna Laptop,52,170.688,No,<3 years ago,Python,No,4,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,3,29.8,Employed,33.738045,73.084488,O+,Telenor,Prepaid,Apna Laptop,75.4,172.3,Yes,>3 years ago,Python,Yes,3,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,0,21,Student,34.9526,72.3311,AB+,Mobilink,Prepaid,Apna Laptop,50,1.73,No,<3 years ago,Python,No,2,Yes,2,Rural
1/4/2022 18:04,Female,Pakistan,31-35,Masters,Others,Switch my field of study,7.5,33,Employed,24.9298,67.1148,B+,Telenor,Prepaid,Apna Laptop,98,157.48,No,>3 years ago,Python,No,2-Jan,Yes,1,Urbun
1/4/2022 18:04,Male,Pakistan,31-35,Masters,Natural Sciences,to boost my skill set,7,35,Employed,32.18,74.19,B+,U-fone,Prepaid,Apna Laptop,75.5,170.5,No,>3 years ago,Python,Yes,2,Yes,0,Urbun
1/4/2022 18:04,Female,Pakistan,36-40,Bachelors,CS/IT,to boost my skill set,0,39,Unemplyed,31.582045,74.329673,O+,U-fone,Postpaid,Apna Laptop,71,160,Yes,>3 years ago,Python,Yes,1,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Masters,Biology,to boost my skill set,4,28,Student,27.2046,77.4977,B+,U-fone,Prepaid,Apna Laptop,78.5,176,Yes,In this chilla,Python,No,3,Yes,0,Urbun
1/4/2022 18:04,Male,Pakistan,26-30,Bachelors,Enginnering,to boost my skill set,3,29,Employed,34.1688,73.2215,B+,Zong,Prepaid,Apna Laptop,88.2,178,No,>3 years ago,Python,No,3,Yes,2,Urbun
1/4/2022 18:04,Male,Pakistan,31-35,Masters,Natural Sciences,to boost my skill set,10.2,32.2,Employed,32.593021,73.5005,O-,U-fone,Prepaid,Apna Laptop,70.2,175.2,No,In this chilla,Python,Yes,3,Yes,6,Urbun
1/4/2022 18:04,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0,23.99,Unemplyed,31.7292,72.9822,O+,U-fone,Prepaid,Apna Laptop,57.5,162.8,Yes,>3 years ago,C++,No,8,Yes,4,Urbun
1/4/2022 18:04,Female,Pakistan,21-25,Masters,Software Eng.,to boost my skill set,1,24.6,Student,17.38714,78.491684,A-,U-fone,Prepaid,Apna Laptop,63.4,5.5,Yes,>3 years ago,Javascript,No,3,Yes,6,Rural
1/4/2022 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,25,Employed,27.2,77.49,O+,Telenor,Prepaid,Apna Laptop,62,184.3,No,>3 years ago,Python,No,1,Yes,2,Urbun
1/4/2022 18:05,Male,Pakistan,16-20,Pre-Bachelors,Natural Sciences,to boost my skill set,1,20,Student,27.2046,77.4977,B+,Mobilink,Prepaid,Apna Laptop,64,166,No,<3 years ago,Python,No,3,Yes,4,Rural
1/4/2022 18:05,Male,Pakistan,21-25,Masters,Natural Sciences,to boost my skill set,0,0,Student,"34.0086° N, 71.4878° E","33.9922° N, 71.4982° E",AB+,Telenor,Prepaid,Apna Laptop,68,176.8,No,In this chilla,Python,No,1,Yes,22,Rural
1/4/2022 18:05,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,0,22,Student,32.166351,74.1959,AB-,Zong,Prepaid,Apna Laptop,68.5,164.592,Yes,>3 years ago,Python,No,2,Yes,1,Rural
1/4/2022 18:05,Male,Pakistan,26-30,Bachelors,Biology,to boost my skill set,2,26,Student,31.582045,74.329376,O+,Mobilink,Prepaid,Apna Laptop,69,164.5,Yes,In this chilla,Python,No,2,Yes,1,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,3.5,27.9,Employed,33.650027,72.9762926,O+,U-fone,Prepaid,Apna Laptop,63.5,182,No,>3 years ago,Python,No,6,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,16-20,Pre-Bachelors,CS/IT,to boost my skill set,0,18,Student,25.0121° N,67.0390° E,O+,Telenor,Prepaid,Apna Laptop,57.4,173.736,No,<3 years ago,Python,No,3,No,0,Urbun
1/4/2022 18:05,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,24,Unemplyed,25.3924,68.3737,AB+,U-fone,Prepaid,Apna Laptop,43,152.4,No,In this chilla,Python,No,3,Yes,8,Urbun
1/4/2022 18:05,Male,Pakistan,21-25,Bachelors,Others,to boost my skill set,0,25,Employed,30.5511,72.1357,O+,Mobilink,Prepaid,Apna Laptop,75,166.5,Yes,<3 years ago,Python,No,4,Yes,5,Rural
1/4/2022 18:05,Male,Pakistan,16-20,Bachelors,CS/IT,to boost my skill set,2,19,Student,33.52,73.04,O+,Mobilink,Prepaid,Apna Laptop,50,180.34,Yes,<3 years ago,Python,No,3,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Masters,CS/IT,to boost my skill set,8,30.4,Employed,30.6679048,73.1242932,O+,Mobilink,Prepaid,Apna Laptop,88,177.8,No,>3 years ago,Python,No,5,Yes,3,Urbun
1/4/2022 18:05,Female,Pakistan,21-25,Bachelors,Natural Sciences,to boost my skill set,O,22,Student,31.52,75.4,O+,Mobilink,Prepaid,Apna Laptop,39.5,155.8,Yes,In this chilla,Python,No,5,Yes,3,Urbun
1/4/2022 18:05,Male,Pakistan,31-35,Bachelors,Enginnering,to boost my skill set,7.5,32,Employed,NA,NA,B+,U-fone,Prepaid,Apna Laptop,72,170,No,In this chilla,Python,Yes,2,Yes,4,Urbun
1/4/2022 18:05,Male,Pakistan,31-35,Masters,Enginnering,Switch my field of study,8,31,Employed,24.86,67,A+,U-fone,Prepaid,Apna Laptop,98,177.8,No,<3 years ago,Python,No,2,Yes,0,Urbun
